player_id,skillcorner_name,fbref_name,player_dribbling_skill
34549,Elliot Panicco,Nelson Palacio,-0.1726185836759304
13405,Kévin Cabral,Kevin Cabral,-0.1727990701675503
18072,Kevon Lambert,Kevin Cabral,-0.1727990701675503
24759,Donovan Pines,Donovan Pines,-0.1734206743287635
1663,Carlos Alberto Vela Garrido,Carlos Vela,-0.1741489321974409
24739,Tim Parker,Tim Parker,-0.1765270995632893
31144,Jimmy Maurer,Tim Parker,-0.1765270995632893
23874,Ethan Finlay,Ethan Finlay,-0.1766383590822495
28587,Derrick Jones,Derrick Jones,-0.1769636293933542
36620,John Tolkin,John Tolkin,-0.1773113992422453
34517,John Pulskamp,John Tolkin,-0.1773113992422453
123434,Jackson Ragen,Jackson Ragen,-0.177949790022066
24266,Corey Baird,Corey Baird,-0.1779832430817234
31142,Dominique Badji,Dominique Badji,-0.1804553805983621
153171,Luis Enrique Jr Zamudio Lizardo,Dominique Badji,-0.1804553805983621
1455,Brecht Dejaegere,Brecht Dejaegere,-0.1805817816724279
27140,Osvaldo Alonso Moreno,Osvaldo Alonso,-0.1809589242741359
17974,Kellyn Acosta,Kellyn Acosta,-0.1849312974460011
11875,Raúl Mario Ruidíaz Misitich,Raúl Ruidíaz,-0.1876285452984153
36523,Cristián Daniel Gutiérrez Zúñiga,Cristián Gutiérrez,-0.18880341962015
34118,Birk Risa,Nick Lima,-0.1908159081200816
24763,Nick Hagglund,Nick Lima,-0.1908159081200816
24263,Nick Lima,Nick Lima,-0.1908159081200816
31661,Leonardo Alves Chú Franco,Leonardo Campana,-0.1927133769733112
24899,Leonardo Campana Romero,Leonardo Campana,-0.1927133769733112
24747,Omir Guadalupe Fernandez Mosso,Omir Fernandez,-0.1931386088553022
22956,Luis Alfonso Abram Ugarelli,Luis Amarilla,-0.1948294616425494
22122,Sam Surridge,Sam Surridge,-0.1973915013767271
123136,Deandre Kerr,Deandre Kerr,-0.1990303708152122
18057,Andre Blake,Deandre Kerr,-0.1990303708152122
36449,Henry Kessler,Deandre Kerr,-0.1990303708152122
31171,Alexander Roldán Leon,Alex Roldan,-0.2001571750017179
36475,Alex Bono,Alex Roldan,-0.2001571750017179
127613,Diego Gutiérrez,Diego Gutierrez,-0.2004839741185211
36560,Spencer Richey,Sean Rea,-0.2011020558279989
25478,Stefan Frei,Sean Rea,-0.2011020558279989
36577,Danny Musovski,Daniel Musovski,-0.2012431885636868
25969,Mathías Nicolás Laborda Malsenido,Mathías Laborda,-0.2020837438626229
16583,Dario Župarić,Dario Župarić,-0.2034602733953164
26794,Dru Yearwood,Dru Yearwood,-0.203500298683017
36486,James Marcinkowski,Jake Nerwinski,-0.2037342399601041
27232,Jake Nerwinski,Jake Nerwinski,-0.2037342399601041
43201,Jonathan Bell,Jonathan Dean,-0.2048745444522646
333842,Jonathan Dean,Jonathan Dean,-0.2048745444522646
18653,Jonathan Bond,Jonathan Dean,-0.2048745444522646
5261,Jonathan Mensah,Jonathan Dean,-0.2048745444522646
33848,Ousmane Doumbia,Ousmane Doumbia,-0.2093375405772325
38452,Guzmán Corujo Bríccola,Ousmane Doumbia,-0.2093375405772325
27150,Maximiliano Nicolás Urruti Mussa,Maximiliano Urruti,-0.2094451347527365
43273,Ahmed Hamdi Hussein Hafez,Ahmed Hamdi,-0.2108178605000712
574480,Mitja Ilenič,Mitja Ilenič,-0.2136628204787926
24748,Alex Muyl,Alex Muyl,-0.2149057348398801
28523,Franco Gabriel Ibarra,Franco Ibarra,-0.2164974934614255
27161,Sebastien Uchechukwu Ibeagha,Sebastien Ibeagha,-0.2183173651940556
25129,Jan Sobociński,Andre Shinyashiki,-0.2200212089695404
31158,Kai Wagner,Kai Wagner,-0.2214713553155889
43274,Rubio Yovani Méndez Rubín,Rubio Rubin,-0.2222619364581683
35429,Adilson Malanda,Adilson Malanda,-0.2238749691930843
