player_id,skillcorner_name,fbref_name,player_finishing_skill
11063,Yuya Kubo,Yuya Kubo,-1.1835551287564003
333194,Jack Panayotou,Jack Elliott,-1.183843389745789
31155,Jack Elliott,Jack Elliott,-1.183843389745789
36526,Cristián Andrés Dájome Arboleda,Cristián Dajome,-1.1848960743872996
27153,Luís Alberto Caicedo Mosquera,Deiber Caicedo,-1.190960402768372
183892,Esmir Bajraktarević,Esmir Bajraktarevic,-1.1983817876491882
71091,Marco Antonio Angulo Solorzano,Marco Angulo,-1.1985301457227504
36464,Jesús David Murillo Largacha,Jesús David Murillo,-1.2003815342843498
27150,Maximiliano Nicolás Urruti Mussa,Maximiliano Urruti,-1.2680684247957774
18322,Derrick Etienne Jr.,Derrick Etienne,-1.270858201432124
27127,Tommy McNamara,Tommy Thompson,-1.289113281172189
36493,Tommy Thompson,Tommy Thompson,-1.289113281172189
31055,Marinos Tzionis,Marinos Tzionis,-1.3042322960702994
19196,Prince Osei Owusu,Marinos Tzionis,-1.3042322960702994
34791,Ían Jairo Misael Torres Ramírez,Jairo Torres,-1.344952123900087
64863,Novak Micović,Matko Miljevic,-1.452521141576736
32766,Marko Ilić,Matko Miljevic,-1.452521141576736
67244,Ajani Fortune,Ajani Fortune,-1.4592117203997472
67094,José Fajardo Nelson,José Fajardo,-1.5866190919027978
1108,Asier Illarramendi Andonegi,Xavier Arreaga,-1.6122434140360236
18269,Xavier Ricardo Arreaga Bermello,Xavier Arreaga,-1.6122434140360236
36583,Javier Casas,Xavier Arreaga,-1.6122434140360236
621193,Zavier Gozo,Xavier Arreaga,-1.6122434140360236
133421,Anthony Markanich,Anthony Markanich,-1.7751647829939374
5622,Junior Hoilett,Junior Hoilett,-1.810843398301085
