player_id,skillcorner_name,fbref_name,player_passing_skill
116527,Julián Fernández,Julián Fernández,0.5684646559614848
24264,Sebastian Lletget,Sebastian Lletget,0.5677398991090796
36574,Luis Barraza,Luis Abram,0.5659824659843092
36444,Jimmy Gerardo Medranda Obando,Jimmy Medranda,0.5598761523502076
31144,Jimmy Maurer,Jimmy Medranda,0.5598761523502076
25977,Santiago Mariano Rodríguez Molina,Santiago Rodríguez,0.5595207982886032
28307,Antônio Josenildo Rodrigues de Oliveira,Santiago Rodríguez,0.5595207982886032
24969,Braian Óscar Ojeda Rodríguez,Santiago Rodríguez,0.5595207982886032
868,Andy Aryel Najar Rodríguez,Santiago Rodríguez,0.5595207982886032
43207,Jack McGlynn,Jack McGlynn,0.5592612868843367
14440,Maarten Paes,Martín Cáceres,0.5549564935957692
36527,Ranko Veselinović,Ranko Veselinović,0.5337023722435745
68557,Connor Ronan,Connor Ronan,0.529640902988176
7219,Matt Miazga,Matt Miazga,0.5272994685065527
333971,Matt Nocita,Matt Miazga,0.5272994685065527
27219,Ilie Sánchez Farrés,Ilie Sánchez,0.5214709788848503
33032,Malte Amundsen,Malte Amundsen,0.5147673845940111
36551,Alec Kann,Malte Amundsen,0.5147673845940111
31153,Cole Bassett,Cole Bassett,0.5124065838155257
34543,Jack Maher,Jack Maher,0.5075625924566703
35620,Tristan Muyumba Nkita,Tristan Muyumba,0.5010549664206913
23847,Darlington Nagbe,Darlington Nagbe,0.5010174532143526
66350,Nelson Daniel Palacio Ruiz,Nelson Palacio,0.4989228910489003
34549,Elliot Panicco,Nelson Palacio,0.4989228910489003
159694,Paul Miles Rothrock,Miles Robinson,0.4975563872529915
27087,Miles Robinson,Miles Robinson,0.4975563872529915
123135,Katlego Ntsabeleng,Tsiki Ntsabeleng,0.4898525333292938
30968,Adrián Andrés Cubas,Andrés Cubas,0.4886152916188099
36491,Matt Bersano,Matt Hedges,0.4759949855990903
36470,Matt Freese,Matt Hedges,0.4759949855990903
27109,Matthew Hedges,Matt Hedges,0.4759949855990903
6250,Lionel Andrés Messi Cuccittini,Lionel Messi,0.4733400251054056
11063,Yuya Kubo,Yuya Kubo,0.4718568309294367
25015,Matt Polster,Matt Polster,0.4712618862941869
17494,Robert Taylor,Robert Taylor,0.4630602343603213
17393,Alexandru Irinel Măţan,Alexandru Mățan,0.4588440843799197
458069,Olwethu Makhanya,Alexandru Mățan,0.4588440843799197
11857,Miguel Gianpierre Araujo Blanco,Miguel Araujo,0.4578483469033395
43189,Adam Jesus Jr Esparza Saldaña,Adalberto Carrasquilla,0.4465516035631972
31975,Adalberto Eliecer Carrasquilla Alcazar,Adalberto Carrasquilla,0.4465516035631972
28934,Mateusz Bogusz,Mateusz Bogusz,0.443582502689721
17903,Mark-Anthony Kaye,Mark-Anthony Kaye,0.4355559636480277
332807,Julian Anthony Altobelli,Mark-Anthony Kaye,0.4355559636480277
44185,Daniel Pereira Gil,Daniel Pereira,0.4251426710626784
332893,Axel Kei,Daniel Pereira,0.4251426710626784
34294,Facundo Daniel Torres Pérez,Facundo Torres,0.4231377632551718
36604,Nkosi Tafari Burgess,Nkosi Tafari,0.4227877514289179
25129,Jan Sobociński,Jan Sobociński,0.4224379600556261
36452,Kelyn Rowe,Kelyn Rowe,0.4216562890816577
69967,Aimé Mabika,Aimé Mabika,0.4214842267272446
24831,Jean Mota Oliveira de Sousa,Santiago Sosa,0.4197002090153092
33634,Ryan Gauld,Ryan Gauld,0.4172588564033681
332939,David Antonio Ochoa Posas,Antonio Carlos,0.4166987452229966
31607,Antônio Carlos Cunha Capocasali Junior,Antonio Carlos,0.4166987452229966
16542,Robin Jansson,Robin Jansson,0.4117690565445348
120296,Sang-Bin Jeong,Robin Jansson,0.4117690565445348
27144,Samuel Piette,Samuel Piette,0.4097679341243763
25462,Latif Blessing,Latif Blessing,0.4057963545078356
36440,Andrew Tarbell,Andrew Farrell,0.4052548093559419
27151,Andrew Farrell,Andrew Farrell,0.4052548093559419
23872,Justin Meram,Justin Meram,0.4047594688209835
36441,Shane O'Neill,Shane O'Neill,0.4017052415098734
11867,Wilder José Cartagena Mendoza,Wilder Cartagena,0.4000165461366895
30921,Ignacio Gil de Pareja Vicent,Wilder Cartagena,0.4000165461366895
34118,Birk Risa,Birk Risa,0.3984654546947903
1455,Brecht Dejaegere,Brecht Dejaegere,0.3955203297928906
539830,Tomás Agustín Avilés Mancilla,Tomás Avilés,0.3904079393948177
12317,Keaton Parks,Keaton Parks,0.3885641904229948
34526,Marcelo Andrés Silva Fernández,Marcelo Silva,0.3884377440731879
53115,Micael Dos Santos Silva,Marcelo Silva,0.3884377440731879
34546,Dave Romney,David Romney,0.3872006278608511
8916,Rémi Walter,Rémi Walter,0.3867836614984838
8755,Quentin Westberg,Rémi Walter,0.3867836614984838
36482,Bill Tuiloma,Bill Tuiloma,0.3824371268708541
36499,Robbie Robinson,Robbie Robinson,0.3822818958089872
13214,Sebastián Driussi,Sebastián Driussi,0.3818959819257386
38292,Exon Gustavo Vallecilla Godoy,Gustavo Vallecilla,0.379534284630477
34791,Ían Jairo Misael Torres Ramírez,Jairo Torres,0.3762010073624049
36541,Mauricio Pineda,Mauricio Pineda,0.3750481569429954
18309,Júnior Leonardo Moreno Borrero,Junior Moreno,0.3728403839782586
27160,Diego Santiago Fagúndez Pepe,Diego Fagúndez,0.369379097694518
9594,Scott Arfield,Scott Arfield,0.36751470444434
17973,Aaron Long,Aaron Long,0.3673940846227834
23848,Diego Ferney Chará Zamora,Diego Chará,0.366673274922989
44445,César Nahuel Araújo Vilches,César Araujo,0.362792347125989
25467,Walker Dwain Zimmerman,Walker Zimmerman,0.3623502805598617
17972,Wil Trapp,Wil Trapp,0.3572510658559458
17452,Derrick Williams,Derrick Williams,0.3500197732031562
32314,Facundo Hernán Farías,Facundo Farías,0.3488386863046716
1663,Carlos Alberto Vela Garrido,Carlos Vela,0.334028267119738
27223,Eriq Anthony Zavaleta Vanney,Eriq Zavaleta,0.330183086138811
34535,John McCarthy,Dax McCarty,0.3276775459970712
31163,Dax McCarty,Dax McCarty,0.3276775459970712
5766,Kelvin Leerdam,Kelvin Leerdam,0.315492255298105
31520,Ocimar de Almeida Júnior,Marky Delgado,0.3067174650493465
17964,Mark Delgado,Marky Delgado,0.3067174650493465
5261,Jonathan Mensah,Jonathan Mensah,0.3063552218413252
19303,Rafael Czichos,Rafael Czichos,0.3062741343168585
36522,Jack Skahan,Jack Skahan,0.3045200850359633
27142,Michael Boxall,Michael Boxall,0.2974252456651224
25506,Joakim Nilsson,Joakim Nilsson,0.2854620564718188
63280,Fernando Antonio Álvarez Amador,Fernando Álvarez,0.2852425968983927
28523,Franco Gabriel Ibarra,Franco Ibarra,0.2836356548532706
36529,Ryan Raposo,Ryan Raposo,0.2834169758058897
568,Alexandre Nascimento Costa Silva,Xande Silva,0.280525941541272
35351,Tai Baribo,Matai Akinmboni,0.2792604805925632
214010,Matai Akinmboni,Matai Akinmboni,0.2792604805925632
17914,Randall Enrique Leal Arley,Randall Leal,0.2762546204217598
35429,Adilson Malanda,Adilson Malanda,0.2751320088857522
43209,Edison Alexander Azcona Vélez,Adilson Malanda,0.2751320088857522
34542,Victor Ulloa,Victor Ulloa,0.2711796494536714
18225,Yimmi Javier Chará Zamora,Yimmi Chará,0.2705792339499972
26533,Franco Rodrigo Fragapane,Franco Fragapane,0.2692383698478611
13742,Raoul Petretta,Raoul Petretta,0.2687097583167989
23282,Alan Pulido Izaguirre,Alan Pulido,0.2677751182254265
54635,Denil Omar Maldonado Munguía,Denil Maldonado,0.2666769850572322
31847,Iván Darío Angulo Cortés,Iván Angulo,0.2625213386972186
24259,Cristian Roldán,Cristian Roldan,0.2608939998318197
360067,Christian McFarlane,Cristian Roldan,0.2608939998318197
36544,Brian Gutiérrez,Brian Gutiérrez,0.2582988652352363
162415,Kerwin Andrés Calderón Vargas,Kerwin Vargas,0.258234850193112
33848,Ousmane Doumbia,Ousmane Doumbia,0.2536028072626736
625256,Ousman Jabang,Ousmane Doumbia,0.2536028072626736
59297,Robert Castellanos,Robert Castellanos,0.2473384292593328
38891,Jhojan Manuel Valencia Jiménez,Jhojan Valencia,0.2427069055707822
25185,Talles Magno Bacelar Martins,Talles Magno,0.2424977973130521
25466,Diego Martín Rossi Marachlian,Diego Rossi,0.2409203010669811
23870,Harrison Afful,Harrison Afful,0.2388817575680829
36554,Yamil Rodrigo Asad,Yamil Asad,0.2320966320129761
36106,Miguel Ángel Tapias Dávila,Miguel Tapias,0.2312308543032451
26472,Alan Agustín Velasco,Alan Velasco,0.2283026631077082
124341,George Marks,George Campbell,0.2267164644107236
27089,George Campbell,George Campbell,0.2267164644107236
26275,Yeimar Pastor Gómez Andrade,Yeimar Gómez Andrade,0.2242548074719816
333634,Isaiah Foster,Liam Fraser,0.2202500936761719
24258,Liam Scott Fraser,Liam Fraser,0.2202500936761719
5622,Junior Hoilett,Junior Hoilett,0.2126386345512228
26467,Martín Exequiel Ojeda,Martín Ojeda,0.2058294742207296
26438,Gastón Claudio Giménez,Gastón Giménez,0.204945193351113
35673,Santiago Moreno,Santiago Moreno,0.2043907789589223
26300,Thiago Ezequiel Almada,Thiago Almada,0.200945555580531
27195,Larrys Mabiala Destin,Larrys Mabiala,0.1983286995728186
36550,Laurence Wyke,Bryce Duke,0.1981310918875493
36465,Bryce Duke,Bryce Duke,0.1981310918875493
620927,Emeka Eneli,Emeka Eneli,0.1977773553860191
24254,Richie Laryea,Richie Laryea,0.1949758836702417
581148,Patrick Agyemang,Richie Laryea,0.1949758836702417
31055,Marinos Tzionis,Marinos Tzionis,0.1912715803196039
4206,Hany Mukhtar,Hany Mukhtar,0.19041634072083
36450,Carles Gil de Pareja Vicent,Carles Gil,0.1899000631669176
24113,Khiry Shelton,Khiry Shelton,0.1869734109244143
27202,Damir Kreilach,Damir Kreilach,0.1821288669188372
23205,Brayan Emanuel Vera Ramírez,Brayan Vera,0.180466348523359
24744,Ryan Meara,Brayan Vera,0.180466348523359
14053,Gabriele Corbo,Gabriele Corbo,0.1787497032794351
29742,Braian Alejandro Galván,Braian Galván,0.1773251744479569
36962,Ibrahim Aliyu,Braian Galván,0.1773251744479569
16268,Andreas Maxsø,Andreas Maxsø,0.1747740391969107
43273,Ahmed Hamdi Hussein Hafez,Ahmed Hamdi,0.1720774590690003
31159,Joe Bendik,Ben Bender,0.1708484655437065
67872,Ben Lundt,Ben Bender,0.1708484655437065
24761,Emmanuel Agyenim Boateng,Emmanuel Boateng,0.1668102454590936
186348,Emmanuel Ochoa Rico,Emmanuel Boateng,0.1668102454590936
27225,Ayo Akinola,Ayo Akinola,0.1665001710635162
152114,Yohei Takaoka,Ayo Akinola,0.1665001710635162
1100,Ashley Westwood,Ashley Westwood,0.165686985353283
16278,Maren Haile-Selassie,Maren Haile-Selassie,0.1656561217451845
140217,Kobe Franklin,Kobe Franklin,0.1602648049831107
3357,Felipe Gutiérrez,Felipe Gutiérrez,0.1563054869276618
18303,Jefferson David Savarino Quintero,Jefferson Savarino,0.1535081829402272
49305,Aziel Jackson,Aziel Jackson,0.1525674007277898
125779,Jacob Jackson,Aziel Jackson,0.1525674007277898
27153,Luís Alberto Caicedo Mosquera,Luís Caicedo,0.1508358486798561
25093,Lucas Lima Linhares,Lucas Calegari,0.1481689945325943
24751,Russell Canouse,Russell Canouse,0.1461491224323283
36609,Tayvon Gray,Tayvon Gray,0.1448006584133739
36500,Christian Frederick Bayoi Makoun Reyes,Christian Makoun,0.1445071062375262
31149,Lalas Abubakar,Lalas Abubakar,0.1430999998709532
36464,Jesús David Murillo Largacha,Jesús David Murillo,0.1426155050499999
3333,Federico Bernardeschi,Federico Bernardeschi,0.1387936602623735
22209,Lassi Lappalainen,Lassi Lappalainen,0.1380133625697669
19143,Tim Leibold,Tim Leibold,0.1368356014070575
34515,Tim Melia,Tim Leibold,0.1368356014070575
14664,Logan Ndenbe,Logan Ndenbe,0.1366706452007472
36579,Sebastian Berhalter,Sebastian Berhalter,0.1355761317965828
27101,Danny Wilson,Danny Wilson,0.1347737249125112
43191,Jonathan Alexander Pérez,Jonathan Perez,0.1340273303916602
25476,Bradley Shaun Smith,Brad Smith,0.132688501200269
36497,Brad Stuver,Brad Smith,0.132688501200269
657134,Moïse Bombito Lumpungu,Moïse Bombito,0.1317730670706428
57496,Josh Bauer,Josh Bauer,0.1259445963165343
28644,Facundo Tomás Quignón,Facundo Quignon,0.1240762368060829
18322,Derrick Etienne Jr.,Derrick Etienne,0.1227749567998033
58946,Obed Gómez Vargas,Obed Vargas,0.1203114793492487
24995,Robert Voloder,Robert Voloder,0.1199067250339205
31155,Jack Elliott,Jack Elliott,0.1186940147755554
26123,Tomáš Ostrák,Tomáš Ostrák,0.1185409851362978
10476,Tomáš Vaclík,Tomáš Ostrák,0.1185409851362978
11864,Miguel Ángel Trauco Saavedra,Miguel Trauco,0.1172191197192139
66358,Nelson Giovany Quiñones Iturre,Nelson Quiñones,0.1132373603833594
28754,Matias Pellegrini,Matías Pellegrini,0.1063053738699969
1635,Carlos Armando Gruezo Arboleda,Carlos Gruezo,0.1056860257204976
12367,Carlos Miguel Coronel,Carlos Gruezo,0.1056860257204976
27161,Sebastien Uchechukwu Ibeagha,Sebastien Ibeagha,0.0992698495046842
28742,Tomás Alejandro Chancalay,Tomás Chancalay,0.0984427403624982
43206,Quinn Sullivan,Quinn Sullivan,0.091403064415165
67244,Ajani Fortune,Ajani Fortune,0.0886065791485716
27212,Dániel Sallói,Dániel Sallói,0.0864027914908853
31785,Daniel De Sousa Brito,Dániel Sallói,0.0864027914908853
19151,Timothy Tillman,Timmy Tillman,0.082751826700018
124336,Jasper Löffelsend,Jasper Löffelsend,0.078794506854341
5682,Kamil Jóźwiak,Kamil Jóźwiak,0.0721838734673255
27106,Héctor Jiménez,Jesús Jiménez,0.0717529523496433
17001,Jesús Jiménez Núñez,Jesús Jiménez,0.0717529523496433
27130,Daniel Steres,Daniel Steres,0.0691654467985085
11875,Raúl Mario Ruidíaz Misitich,Raúl Ruidíaz,0.0689375840208
25482,Nouhou Tolo,Nouhou Tolo,0.0687117052271518
10566,Tyler Boyd,Tyler Boyd,0.0654767865656012
17923,Bryan Josué Acosta Ramos,Bryan Acosta,0.065281789198663
67049,Joseph Yeramid Rosales Erazo,Joseph Rosales,0.0641462316248611
24739,Tim Parker,Tim Parker,0.0585212948556651
14350,Diego José Palacios Espinoza,Diego Palacios,0.0583730195940201
581397,Malik Pinto,Malik Pinto,0.0567177714894891
32766,Marko Ilić,Matko Miljevic,0.0563474793667231
64863,Novak Micović,Matko Miljevic,0.0563474793667231
33934,Obinna Nwobodo,Obinna Nwobodo,0.0562974782319513
13540,Evander da Silva Ferreira,Jesús Ferreira,0.0561843905031272
27115,Jesús David Ferreira Castro,Jesús Ferreira,0.0561843905031272
33791,Ian Harkes,Ian Harkes,0.0560223054662541
27154,DeJuan Lytelle Jones,DeJuan Jones,0.0541175241205244
31176,Wyatt Omsberg,Wyatt Omsberg,0.0508319614361756
36468,Kwadwo Opoku,Kwadwo Opoku,0.0465064580860087
35382,Eugene Ansah,Erik Duenas,0.0438711356284831
36466,Érik Dueñas,Erik Duenas,0.0438711356284831
12028,Sigurd Rosted,Sigurd Rosted,0.0413734432900599
36493,Tommy Thompson,Tommy Thompson,0.039600266796822
4651,Jamiro Gregory Monteiro Alvarenga,Jamiro Monteiro,0.0388545574352062
34545,Brian Anunga,Brian Anunga,0.0361163887415173
